unit	geo	name	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 	2023-Q1 	2023-Q2 	2023-Q3 	2023-Q4 	2024-Q1 
T_HAB	EL	Greece	3.005 s	2.792 s	3.043 s	2.809 s	2.977 s	2.638 s	2.863 s	2.876 s	3.026 s	2.551 s	2.795 s	2.697 s	2.457 s	2.379 s	2.62 s	2.59 s	2.514 s	2.347 s	2.487 s	2.483 s	2.448 s	2.243 s	2.478 s	2.528 s	2.354 s	2.177 s	2.401 s	2.586 s	2.586 s	2.322 s	2.569 s	2.585 s	2.45 s	2.325 s	2.571 s	2.618 s	2.528 s	2.286 s	2.398 s	2.254 s	2.316 s	1.85 s	2.11 s	2.115 s	2.088 s	2.04 s	2.276 s	2.197 s	2.27 s	2.031 s	2.311 s	2.086 s	2.118 s	2.033 s	2.201 s	2.091 s	2.159 s
T_HAB	ES	Spain	1.968 s	1.887 s	1.891 s	2.034 s	2.024 s	1.867 s	1.893 s	1.972 s	2.052 s	1.848 s	1.807 s	1.897 s	1.759 s	1.692 s	1.735 s	1.869 s	1.732 s	1.729 s	1.805 s	1.866 s	1.89 s	1.793 s	1.83 s	1.894 s	1.778 s	1.71 s	1.742 s	1.925 s	1.866 s	1.801 s	1.785 s	1.982 s	1.881 s	1.779 s	1.75 s	1.867 s	1.765 s	1.697 s	1.658 s	1.713 s	1.601 s	1.217 s	1.473 s	1.563 s	1.513 s	1.532 s	1.52 s	1.675 s	1.639 s	1.593 s	1.569 s	1.593 s	1.589 s	1.505 s	1.461 s	1.527 s	1.511 s
T_HAB	EU27_2020	Europe	2.677 s	2.344 s	2.274 s	2.7 s	2.651 s	2.28 s	2.223 s	2.569 s	2.624 s	2.245 s	2.177 s	2.493 s	2.536 s	2.189 s	2.143 s	2.445 s	2.368 s	2.118 s	2.084 s	2.386 s	2.423 s	2.127 s	2.128 s	2.395 s	2.394 s	2.125 s	2.085 s	2.461 s	2.469 s	2.161 s	2.109 s	2.412 s	2.443 s	2.081 s	2.092 s	2.368 s	2.324 s	2.056 s	1.993 s	2.241 s	2.153 s	1.652 s	1.843 s	2.122 s	2.13 s	1.935 s	1.909 s	2.217 s	2.167 s	1.924 s	1.884 s	2.077 s	2.068 s	1.807 s	1.743 s	1.989 s	1.979 s
T_HAB	FI	Finland	4.204 s	3.488 s	3.192 s	4.026 s	4.061 s	3.223 s	2.798 s	3.227 s	3.393 s	2.875 s	2.674 s	3.237 s	3.393 s	2.903 s	2.751 s	3.17 s	3.078 s	2.691 s	2.616 s	2.976 s	2.883 s	2.549 s	2.403 s	2.883 s	3.069 s	2.649 s	2.471 s	3.084 s	2.965 s	2.59 s	2.368 s	2.772 s	3.006 s	2.512 s	2.498 s	2.873 s	2.857 s	2.451 s	2.367 s	2.663 s	2.483 s	2.094 s	2.047 s	2.302 s	2.413 s	2.079 s	2.008 s	2.388 s	2.257 s	2.095 s	2.004 s	2.314 s	2.217 s	1.889 s	1.795 s	2.084 s	2.073 s
T_HAB	FR	France	2.313 s	1.976 s	1.825 s	2.273 s	2.263 s	1.857 s	1.731 s	2.115 s	2.252 s	1.875 s	1.742 s	2.09 s	2.231 s	1.871 s	1.718 s	2.05 s	1.994 s	1.749 s	1.63 s	1.945 s	2.057 s	1.715 s	1.627 s	1.924 s	1.969 s	1.732 s	1.61 s	1.991 s	2.026 s	1.738 s	1.642 s	1.978 s	1.987 s	1.658 s	1.589 s	1.871 s	1.89 s	1.677 s	1.56 s	1.8 s	1.753 s	1.284 s	1.461 s	1.7 s	1.74 s	1.561 s	1.475 s	1.758 s	1.751 s	1.555 s	1.477 s	1.662 s	1.714 s	1.512 s	1.408 s	1.613 s	1.652 s
T_HAB	HR	Croatia	1.642 s	1.541 s	1.763 s	1.727 s	1.655 s	1.545 s	1.675 s	1.736 s	1.643 s	1.417 s	1.578 s	1.568 s	1.475 s	1.352 s	1.521 s	1.584 s	1.436 s	1.386 s	1.439 s	1.523 s	1.463 s	1.378 s	1.51 s	1.591 s	1.46 s	1.424 s	1.521 s	1.643 s	1.572 s	1.478 s	1.608 s	1.669 s	1.535 s	1.362 s	1.588 s	1.599 s	1.55 s	1.43 s	1.596 s	1.587 s	1.525 s	1.315 s	1.534 s	1.576 s	1.547 s	1.448 s	1.63 s	1.608 s	1.547 s	1.466 s	1.591 s	1.55 s	1.545 s	1.507 s	: 	: 	: 
T_HAB	HU	Hungary	1.922 s	1.626 s	1.601 s	2.036 s	1.965 s	1.581 s	1.568 s	2.002 s	1.86 s	1.457 s	1.514 s	1.79 s	1.729 s	1.443 s	1.465 s	1.781 s	1.659 s	1.484 s	1.535 s	1.835 s	1.807 s	1.552 s	1.611 s	1.92 s	1.787 s	1.552 s	1.62 s	1.958 s	1.903 s	1.598 s	1.675 s	2.024 s	1.968 s	1.583 s	1.677 s	1.991 s	1.887 s	1.62 s	1.675 s	1.929 s	1.887 s	1.399 s	1.583 s	1.883 s	1.778 s	1.622 s	1.613 s	1.982 s	1.835 s	1.6 s	1.547 s	1.809 s	1.703 s	1.519 s	1.506 s	1.781 s	1.63 s
T_HAB	IE	Ireland	4.194 s	3.831 s	3.515 s	3.963 s	3.976 s	3.615 s	3.443 s	3.683 s	3.844 s	3.77 s	3.479 s	3.86 s	3.981 s	3.732 s	3.476 s	3.73 s	3.831 s	3.699 s	3.519 s	3.735 s	3.973 s	3.793 s	3.688 s	3.802 s	4.15 s	4.015 s	3.779 s	4.169 s	4.184 s	4.029 s	3.941 s	4.168 s	4.313 s	4.123 s	3.901 s	4.065 s	3.894 s	4.069 s	3.801 s	3.95 s	3.704 s	2.738 s	3.173 s	3.246 s	3.136 s	3.233 s	3.417 s	3.498 s	3.407 s	3.595 s	3.613 s	3.595 s	3.48 s	3.57 s	3.39 s	3.4 s	3.407 s
T_HAB	IT	Italy	2.464 s	2.105 s	2.048 s	2.418 s	2.456 s	2.044 s	1.98 s	2.29 s	2.395 s	1.985 s	1.92 s	2.131 s	2.216 s	1.786 s	1.769 s	2.046 s	2.03 s	1.74 s	1.698 s	1.973 s	2.068 s	1.747 s	1.759 s	2.042 s	2.088 s	1.726 s	1.705 s	2.059 s	2.08 s	1.74 s	1.683 s	2.055 s	2.114 s	1.688 s	1.7 s	1.986 s	2.045 s	1.74 s	1.679 s	1.884 s	1.868 s	1.338 s	1.588 s	1.834 s	1.918 s	1.677 s	1.658 s	1.991 s	2.033 s	1.709 s	1.67 s	1.856 s	1.93 s	1.622 s	1.583 s	1.783 s	1.856 s
T_HAB	LT	Lithuania	1.904 s	1.691 s	1.836 s	1.984 s	1.876 s	1.878 s	2.027 s	1.999 s	1.922 s	1.834 s	2.095 s	1.984 s	1.8 s	1.785 s	2.067 s	1.861 s	1.792 s	1.809 s	2.075 s	1.961 s	1.822 s	2.005 s	2.1 s	2.008 s	1.858 s	2.077 s	2.143 s	2.059 s	1.945 s	2.097 s	2.265 s	2.23 s	2.097 s	2.257 s	2.364 s	2.199 s	2.093 s	2.267 s	2.408 s	2.35 s	2.217 s	2.394 s	2.678 s	2.388 s	2.103 s	2.274 s	2.422 s	2.231 s	2 s	2.104 s	2.264 s	2.213 s	1.919 s	2.135 s	2.211 s	2.144 s	2.05 s
